recid,ite,ite_reweighed
305810,-0.123883033766793,-0.118211696008023
305811,-0.175949810427413,-0.157231772068369
305813,0.267623834506268,0.236625132923725
305814,-0.127304657031533,-0.11255903812704
305815,-0.145031979329943,-0.132056111878746
305822,-0.140862032231446,-0.134413399695734
305824,-0.092072137477582,-0.0814074793054132
305825,0.203995113316721,0.180366486764575
305828,0.122441561829733,0.212167446221503
305832,0.438963233461366,0.399689628014768
305834,-0.319706922977083,-0.305070811082751
305839,0.280475925158774,0.247988573943869
305843,-0.214411308924421,-0.191601627599327
305845,0.309183129153511,0.281520821015834
305847,0.129812039616987,0.114775992153831
305850,-0.00186179329022053,-0.00322612617705516
305851,0.00612789047174381,0.00541810074612187
305857,0.0193839906672149,0.0173218669287528
305858,0.349075683921621,0.30864246549931
305861,0.0185339647618235,0.0168757493033731
305862,0.20042285254976,0.347293877621752
305863,0.0362015918080601,0.032532538802374
305864,-0.0147461634074882,-0.0134268387821658
305866,0.0598731992999727,0.103748625897563
305868,-0.0315314850835717,-0.0278792128621409
305869,-0.722360966414517,-0.633609855493933
305873,0.226693473188433,0.335798221991384
305875,-0.175949810427413,-0.158117191789498
305877,-0.128843311518507,-0.190853994668975
305878,-0.175949810427413,-0.160207755270217
305880,-0.117427140814453,-0.103825628443501
305887,-0.0837381394248263,-0.075251228855363
305889,-0.175949810427413,-0.160903041245663
305891,0.285399059768377,0.259864688746482
305892,-0.0179956295268326,-0.016456690194572
305893,0.0147895468494664,0.0132161930358492
305894,0.0376434079007493,0.0359201010514984
305896,0.320782216824548,0.274980772901243
305898,-0.0171994027293774,-0.0152072066546535
305900,0.319942950740744,0.305296033547838
305901,-0.0773252857588354,-0.0662847431296473
305903,0.33524341703779,0.294054555686936
305904,-0.168654651391269,-0.151561401489692
305905,-0.0179741098836581,-0.0154077575650757
305906,0.477494154565247,0.426696976212738
305908,0.241251511795959,0.23020707119254
305910,0.146887876475926,0.125915152663417
305911,-0.0810589438496052,-0.0716699370160933
305912,-0.174884588090277,-0.153397821504672
305913,0.133524178064583,0.119319498441448
305918,0.499982181682564,0.86637201501366
305921,0.271330076809625,0.24705444374945
305925,0.0553589379106846,0.050624785831376
305927,0.0576028769450665,0.0493783096222977
305928,0.0437119472759487,0.0392817152467178
305930,-0.154580804755168,-0.141361457241067
305931,0.106603104453326,0.101722838018889
