,Unnamed: 0,recid,late_Xfit,pred_takeup_prob,education,age,prev_earnings,allocated_trmt,earnings,pred_earnings,counterfac_pred_earnings,pred_pred_itt,pred_actual_itt,doubly_robust_lasso,Rlr1,doubly_robust_ols,Rlr1poly,doubly_robust_polyols,clstrs9,d_rob_ols_Xfit
4244,4220,309515,35781.0,0.6460564567548451,11,32,2200,1,6266,14947.961153655066,13258.054413707525,1689.9067399475425,-6992.054413707523,-11333.034990535056,1347.4789462051522,-11354.13647073364,1165.9827096043664,13237.062600914556,4,-11440
4245,4221,309516,41472.0,0.6360904095231871,10,23,64,1,2007,11629.512247492119,8107.021084794223,3522.491162697897,-6100.0210847942235,-10911.277208540285,1711.6214363472104,-13176.91123054194,-1551.6292832455838,12658.227165202028,3,-13398
4246,4222,309520,-71744.0,0.6136819134304397,9,35,2000,1,26085,13033.74253771318,11332.628854943137,1701.113682770043,14752.371145056863,21277.999876200272,1759.6782273816045,21986.04879567684,406.461573121378,44635.097046610135,3,21914
4247,4223,309521,36931.0,0.6654437677592708,12,30,8600,1,51996,24576.47258335493,24085.447495077,491.02508827792917,27910.552504923,41620.31621324553,1558.8806163871084,42789.373863698034,-882.5943358601363,62924.350357486896,1,42751
4248,4224,309522,10384.0,0.6297189583633086,10,26,0,1,18522,11438.914092637317,8201.506506704456,3237.407585932858,10320.493493295544,13862.036446976887,1625.0830345427255,12096.780138127682,-1225.9540025786864,37121.80534425622,3,12412
4249,4225,309523,-34072.0,0.6568317153947673,12,37,3950,0,23994,16645.409263794292,17762.623115491264,1117.2138516969717,-6231.376884508737,1117.2138516969717,1068.5136228848166,1068.5136228848166,1027.5577381503026,1027.5577381503026,2,-21704
4250,4226,309525,25744.0,0.6539755741766516,12,46,6000,1,38681,19713.126628183818,18084.35950669913,1628.7671214846994,20596.640493300878,30080.577179208965,952.5863689138824,30001.28373617629,-156.91188700565544,52996.72141848572,2,30025
4251,4227,309526,9358.0,0.6028326996803903,8,24,488,1,16958,10742.930803851805,6979.79015695644,3763.140646895365,9978.20984304356,13085.744441117658,2218.770164595775,11366.009674905348,1718.9344088152575,36000.27311040806,3,11360
4252,4228,309528,15146.0,0.6719106850001595,12,22,0,1,24350,13016.842962932295,10821.732125405631,2195.110837526663,13528.267874594369,19194.846393128217,1227.5448144854872,17502.115269745795,-1789.3072687656675,41757.87356700376,4,17787
4253,4229,309533,56753.0,0.6528747396733868,12,47,2200,1,1292,14343.698293734496,13222.867071727813,1120.8312220066837,-11930.867071727813,-18456.71621859506,681.5685701630591,-18367.763392241446,189.28816599387932,5880.610716904786,2,-18098
4254,4230,309534,-16552.0,0.6676785214507109,12,24,0,1,0,12957.497348571396,10838.474583441108,2119.0227651302885,-10838.474583441108,-17317.223257726804,1172.5870184839025,-18773.978199350306,-1084.7395857564698,5569.877581836672,4,-18942
4255,4231,309535,-18046.0,0.653639182874683,11,31,4500,1,20846,18190.86516964596,16958.712844946596,1232.1523246993565,3887.287155053404,5214.854570230427,1522.3629683441213,5797.463133788171,1596.7693644710046,29725.3940646262,1,5872
4256,4232,309541,-31466.0,0.6684238843039163,13,26,12000,1,4741,30036.54153430049,30540.429339770548,-503.8878054700617,-25799.429339770548,-38447.20010692078,1632.9725293469455,-36801.417380566025,-5725.666085138146,-19812.10050492818,1,-35881
4257,4233,309543,-4963.0,0.6307435413272687,9,25,2391,0,13780,11452.319419259675,14087.211626627019,2634.892207367344,307.21162662702045,2634.892207367344,2059.526078493018,2059.526078493018,3156.546523592393,3156.546523592393,3,-2974
4258,4234,309545,-31171.0,0.6606194401181882,12,32,2720,0,22443,15216.887103872648,16393.540925299967,1176.6538214273205,-6049.459074700029,1176.6538214273205,1127.0784160670594,1127.0784160670594,1479.536995082398,1479.536995082398,4,-20670
4259,4235,309548,-11226.0,0.6490574863610367,12,40,100,0,13498,10766.376183349126,12159.803859532029,1393.4276761829003,-1338.1961404679732,1393.4276761829003,739.333568912014,739.333568912014,577.553199323138,577.553199323138,2,-6920
4260,4236,309549,6978.0,0.6283995836729609,10,44,3000,1,18293,14356.92690793884,13480.715092710332,876.2118152285077,4812.284907289668,6780.321453320248,1322.7304237521696,8001.333964054626,-1517.0258097102273,30489.99725179301,2,8167
4261,4237,309552,47272.0,0.6116027269333776,8,24,1500,0,1126,8882.822246444257,12155.951312503115,3273.1290660588593,11029.951312503115,3273.1290660588593,2283.6284192165713,2283.6284192165713,3768.992775076371,3768.992775076371,3,28832
4262,4238,309553,420.0,0.6604279982064384,12,28,0,1,12579,12805.6204110634,10846.317124333906,1959.303286729493,1732.6828756660943,1619.3726701343949,1062.6714264807342,592.3348624574893,-58.24563055977706,25050.78335030376,4,489
4263,4239,309564,50350.0,0.6328067949690162,11,38,0,0,0,9675.655829717194,11466.251562624131,1790.5957329069352,11466.251562624131,1790.5957329069352,1041.6093525030137,1041.6093525030137,-543.6037429386379,-543.6037429386379,2,31296
4264,4240,309565,42195.0,0.5895296599160419,8,29,0,1,0,9863.134071728826,6658.779602785695,3204.354468943131,-6658.779602785695,-11590.346638650108,2050.100152600756,-12474.00825894238,258.8177978031344,8955.132430782194,3,-11955
4265,4241,309567,25896.0,0.6434979413567211,11,28,0,1,31485,12081.38305656646,9492.116971365667,2589.266085200794,21992.883028634333,31694.691500351102,1316.3983325109386,30370.76076574453,-725.544774097677,55146.94002885949,4,30148
4266,4242,309568,4735.0,0.5941393003500057,13,38,20643,1,44049,40599.63912964868,33454.304946053904,7145.33418359478,10594.695053946096,12319.375489121752,1857.148574174942,6390.7674375457145,2254.8773443783866,30869.305335480778,1,4696
4267,4243,309572,-26873.0,0.6620865346206011,12,27,0,0,18594,10847.778360122657,12848.018143741258,2000.2397836186026,-5745.9818562587425,2000.2397836186026,1090.1503244815267,1090.1503244815267,-269.5281804110855,-269.5281804110855,4,-18750
4268,4244,309575,-10642.0,0.6503933916793001,12,49,0,0,12792,10121.900968626322,11017.460065504485,895.5590968781653,-1774.5399344955151,895.5590968781653,485.61456846409055,485.61456846409055,-687.1038799288873,-687.1038799288873,2,-7119
4269,4245,309578,-56496.0,0.6692706547164184,12,62,950,0,22777,9821.20309303177,10089.718839436378,268.51574640460785,-12687.281160563623,268.51574640460785,189.27361964129705,189.27361964129705,-2434.673837149865,-2434.673837149865,2,-36787
4270,4246,309580,21487.0,0.6545103711985705,11,30,4226,0,11925,16576.481235725067,17864.512430224262,1288.0311944991956,5939.512430224261,1288.0311944991956,1532.2814298171488,1532.2814298171488,1773.0334315504513,1773.0334315504513,1,14181
4271,4247,309582,28799.0,0.6765379740926496,12,22,1725,0,8262,13967.10738287437,15424.061400537968,1456.9540176635965,7162.0614005379675,1456.9540176635965,1338.0986575891202,1338.0986575891202,114.65352471624828,114.65352471624828,4,20250
4272,4248,309584,17175.0,0.6450857820363891,10,38,8136,1,33864,21998.153731047158,21105.89596372846,892.257767318697,12758.104036271541,18691.02717074796,1816.7658628759164,20352.630693162595,-2128.68655190662,40575.04630865485,1,20498
4273,4249,309588,42114.0,0.6376013378356354,11,53,0,0,0,9306.656126070659,9709.707331516933,403.0512054462724,9709.707331516933,403.0512054462724,629.4258824911249,629.4258824911249,-3012.8133301432867,-3012.8133301432867,2,28791
4274,9204,309589,,,13,38,6956,0,0,21433.636001960243,22532.078272886603,1098.44227092636,22532.078272886603,1098.44227092636,979.9599071839766,979.9599071839766,-515.5999234315495,-515.5999234315495,1,65498
4275,4250,309594,-19117.0,0.6692407466804418,12,26,2200,0,19714,14674.8287463223,15955.279276664152,1280.4505303418555,-3758.720723335846,1280.4505303418555,1258.6254281797028,1258.6254281797028,1111.6415746425027,1111.6415746425027,4,-13448
4276,4251,309595,39730.0,0.6846742638586767,13,25,5200,1,11516,20860.6405130884,21231.233333016185,-370.5928199277878,-9715.233333016184,-14387.553589560383,1224.6449733739971,-13181.266087679516,-224.81276193054873,8543.269647841902,1,-13362
4277,4252,309601,-10066.0,0.6651497274973804,13,43,450,1,4497,13083.509168884144,12117.566683251924,965.9424856322166,-7620.5666832519255,-11913.821267693997,425.6011834221953,-11982.10780188154,1665.2934809018116,12890.264847972441,2,-11964
4278,4253,309604,13737.0,0.6541496222094391,10,29,7000,0,16803,20075.00858845301,21013.04123040985,938.032641956841,4210.04123040985,938.032641956841,1991.2706313956696,1991.2706313956696,1959.3010826528118,1959.3010826528118,1,7755
4279,4254,309608,-45637.0,0.663449007039458,12,31,3844,0,27190,17038.663848949443,18005.93162987294,967.2677809234956,-9184.068370127061,967.2677809234956,1226.593557342334,1226.593557342334,1427.2779405153888,1427.2779405153888,4,-30174
4280,4255,309612,37168.0,0.6369022611562816,10,23,200,0,3150,8361.212325958002,11819.713445561578,3458.5011196035744,8669.713445561576,3458.5011196035744,1720.3375654266833,1720.3375654266833,-1269.231138218067,-1269.231138218067,3,23091
4281,4256,309613,32140.0,0.6599700834860859,12,29,400,1,5445,13319.356121181729,11528.886403880244,1790.4697173014847,-6083.886403880244,-10021.064464471108,1060.828202243103,-10783.159199051646,452.2900629049327,13762.392087386534,4,-10622
4282,4257,309615,-18434.0,0.6861784855922816,14,56,2040,1,0,14226.879705081708,12793.311349512322,1433.568355569387,-12793.311349512322,-19906.751202053176,-83.44959340974492,-21704.95687896356,1307.7049413102138,4065.2550729213976,2,-21978
4283,4258,309616,-47629.0,0.6932392027197257,14,28,0,0,24958,14199.864093181868,14254.095120057273,54.23102687540268,-10703.90487994273,54.23102687540268,555.2176144203257,555.2176144203257,1279.3466370064086,1279.3466370064086,4,-32740
