,recid,education,age,prev_earnings,allocated_trmt,earnings,clstrs9,Rlr1,d_rob_ols_Xfit
5719,312843,12,44,5000,0,1303,2,943.4549805075658,48769
5720,312845,10,26,3915,1,26016,3,1875.9921914996648,15615
5721,312846,11,34,14299,0,40968,1,2067.936192354784,-35125
5722,312847,12,31,150,1,22425,4,989.848110139541,15666
5723,312849,11,38,0,1,1782,2,1041.6093525030137,-12975
5724,312850,12,33,2477,0,0,4,1084.0258462551446,45196
5725,312851,11,29,0,0,192,4,1288.919434510146,33132
5726,312856,10,41,7282,0,29470,1,1679.597005389187,-31758
5727,312858,14,24,0,1,3847,4,665.1332064234939,-15491
5728,312860,12,23,9582,1,16620,1,1814.168481481218,-13141
5729,312861,12,24,5000,0,46427,1,1493.0329405234152,-81369
5730,312864,12,26,0,1,1623,4,1117.6292224823173,-16206
5731,312867,8,55,0,1,10299,2,1335.6488045801498,6200
5732,312870,12,24,2000,0,20561,4,1300.765387299709,-16100
5733,312873,15,23,2600,0,26677,4,605.5170778546271,-24180
5734,312874,12,45,400,0,0,2,621.1658342304218,34703
5735,312876,11,52,0,1,9714,2,656.9047804919173,756
5736,312877,15,31,3596,0,15257,4,449.51872151855787,13365
5737,312879,12,36,2400,1,10110,2,996.6542850533588,-6912
5738,312880,12,23,0,0,8640,4,1200.0659164846948,11315
5739,312882,9,37,1500,0,1841,3,1672.6758391760686,26284
5740,312886,9,37,0,1,28306,3,1576.5420625642137,30094
5741,312887,12,27,10000,1,42750,1,1731.0421685605543,26176
5742,312888,10,38,900,1,147,3,1353.01652450033,-15363
5743,312890,14,24,6840,0,49158,1,1103.5032277735518,-76336
5744,312895,12,38,1000,0,6505,2,851.9716308807128,18075
5745,312897,11,26,0,0,3678,4,1371.3561285125215,23406
5746,312901,12,23,0,1,15039,4,1200.0659164846948,3772
5747,312902,12,24,16200,0,43955,1,2210.831805891932,-27101
5748,312903,9,35,0,1,114739,3,1631.4998585657977,158927
5749,312904,12,26,9880,0,30439,1,1750.830364432397,-16131
5750,312905,12,27,5000,1,26502,1,1410.5962465210396,11218
5751,312906,14,26,3000,0,35778,4,802.4429636456152,-53250
5752,312908,8,47,0,1,9298,3,1555.4799885864904,3739
5753,312910,12,25,3000,1,927,4,1337.375673706818,-23261
5754,312911,8,52,8,1,6942,3,1418.598212057791,-117
5755,312912,12,36,9096,1,38106,1,1425.7954638486772,21076
5756,312916,12,40,2700,0,12100,2,905.9654483725608,7745
5757,312918,13,39,3000,1,12450,2,698.9441956655173,-5786
5758,312919,8,63,0,0,15705,2,1115.81762057381,-28446
5759,312922,13,25,1345,1,26997,4,977.5811674815322,17922
5760,312928,15,32,5760,1,60537,1,560.7288185764664,57490
5761,312929,12,28,3000,0,36832,4,1254.9389797044405,-62074
5762,312930,12,23,0,0,13337,4,1200.0659164846948,-2121
5763,312936,7,28,3300,1,45554,3,2542.800265177835,50643
5764,312937,15,30,4500,0,7458,1,534.9342422240952,40600
5765,312940,8,58,3668,1,14388,2,1488.2912389859612,6035
5766,312942,12,63,0,1,10678,2,100.90999645299598,1987
5767,312943,12,42,716,1,53947,2,723.854710505695,62825
5768,312947,12,27,3000,1,11796,4,1282.4178777052348,-6647
5769,312949,12,73,0,0,12304,2,-173.87898355493053,-13003
5770,312951,12,26,800,0,2538,4,1168.90057000864,32940
5771,312954,17,29,2592,1,5238,4,-67.32283568579805,-22959
5772,312955,12,42,24000,1,924,1,2216.1072802593044,-64222
5773,312958,14,23,1500,1,31782,4,788.7458810361386,22880
5774,312959,12,22,8963,1,24153,1,1801.976174333522,-1148
5775,312965,12,74,4875,1,0,2,111.0768924328022,-21855
5776,312967,9,59,8658,1,12,2,1526.890465150398,-27169
5777,312968,12,36,400,1,29575,2,868.475916237554,26138
5778,312969,12,23,98,0,32024,4,1206.3466565566705,-57545
5779,312970,12,53,0,0,32971,2,375.6989764609207,-67463
5780,312976,12,29,0,1,0,4,1035.1925284799418,-17965
5781,312979,10,53,0,1,429,2,883.1527885213291,-11609
5782,312980,9,45,1323,1,4450,3,1441.5008695295273,-7785
5783,312983,10,39,3750,1,30298,3,1508.1918020620578,23874
5784,312985,14,31,9085,1,20082,1,1055.0311607637414,-8065
5785,312986,12,22,500,1,8151,4,1259.589406689438,-7910
5786,312989,12,27,0,1,12452,4,1090.1503244815267,540
5787,312991,12,28,0,0,45987,4,1062.6714264807342,-101756
5788,312992,12,22,6500,1,21884,1,1644.124513136856,1293
5789,313000,12,25,4972,1,54809,1,1463.759545359204,53936
5790,313003,12,24,4316,0,16106,4,1449.1959383884132,5930
5791,313004,9,31,3896,0,10012,3,1991.1069130221567,12378
5792,313005,9,43,8000,1,8757,1,1924.382149822679,-14882
5793,313009,13,35,1604,1,27198,2,719.3912862352554,18600
5794,313012,12,41,700,1,6641,2,750.3081815559617,-7960
5795,313015,14,39,8000,1,40199,1,765.6632116748297,24220
5796,313017,13,41,15000,1,48,1,1413.0566125587648,-47935
5797,313019,16,53,2000,1,12684,2,-511.03027884409494,-5856
5798,313020,12,52,5000,1,2625,2,723.623796501226,-21494
5799,313023,12,38,0,1,7096,2,787.8824464728095,-6425
5800,313025,13,53,1300,1,5840,2,205.28801016098805,-10790
5801,313028,12,37,3319,1,2994,2,1028.0733475234283,-19388
5802,313029,11,41,98,1,9424,2,965.4533985726102,-1309
5803,313031,16,25,160,0,1940,4,140.45476586755467,42889
5804,313034,10,22,3000,1,22890,3,1927.2661797696037,12181
5805,313039,13,26,0,1,0,4,863.9023164521113,-19639
5806,313043,16,56,20000,1,5447,1,560.1383464957762,-53299
5807,313044,12,24,900,0,420,4,1230.2672844510143,39871
5808,313050,11,27,0,1,3547,4,1343.8772305117309,-11768
5809,313052,15,44,0,0,11541,2,-138.1716596225615,6471
5810,313057,13,33,88,1,0,4,677.1898786744587,-18983
5811,313060,13,36,11500,0,21792,1,1326.13895713507,19610
5812,313061,12,60,0,1,11816,2,183.3466904553734,3993
5813,313065,12,41,0,1,0,2,705.4457524704303,-17012
5814,313069,12,48,0,1,0,2,513.0934664648812,-15759
5815,313071,13,32,1200,1,12216,4,775.9359497368405,-3288
5816,313072,14,47,1600,0,14454,2,135.66124745790876,909
5817,313076,8,27,800,1,44575,3,2156.3292961286643,52481
